Set 3
  1    350    ( 3, 3)   51    (20,19)  (1,1,1,1,1)
  2    350    ( 3, 3)   51    (20,19)  (2,1,1,1,1)
  3    350    ( 3, 3)   51    (20,19)  (3,1,1,1,1)
  4    350    ( 3, 7)  113    (20,19)  (1,2,1,1,1)
  5     67    (20,19)   91    (20,19)  (2,2,1,1,1)
  6     83    (20,19)   91    (20,19)  (3,2,1,1,1)
  7    350    (20,12)  350    (20, 3)  (1,3,1,1,1)
  8     77    (20,19)  262    (20,19)  (2,3,1,1,1)
  9     45    (20,19)  350    ( 2, 1)  (3,3,1,1,1)
 10    350    (18,12)   51    (20,19)  (1,1,2,1,1)
 11    350    ( 3, 3)   51    (20,19)  (2,1,2,1,1)
 12    350    ( 3, 3)   51    (20,19)  (3,1,2,1,1)
 13    350    ( 3, 7)   81    (20,19)  (1,2,2,1,1)
 14     55    (20,19)   66    (20,19)  (2,2,2,1,1)
 15     80    (20,19)   97    (20,19)  (3,2,2,1,1)
 16    350    ( 3, 7)  350    (19, 3)  (1,3,2,1,1)
 17     79    (20,19)  255    (20,19)  (2,3,2,1,1)
 18     45    (20,19)  350    ( 2, 1)  (3,3,2,1,1)
 19    350    (18,12)   51    (20,19)  (1,1,3,1,1)
 20    350    ( 3, 3)   51    (20,19)  (2,1,3,1,1)
 21    350    ( 3, 3)   51    (20,19)  (3,1,3,1,1)
 22    350    (18,12)   99    (20,19)  (1,2,3,1,1)
 23     72    (20,19)   79    (20,19)  (2,2,3,1,1)
 24     73    (20,19)   81    (20,19)  (3,2,3,1,1)
 25    350    (20,12)  350    (20, 3)  (1,3,3,1,1)
 26     76    (20,19)  269    (20,19)  (2,3,3,1,1)
 27     45    (20,19)  350    ( 2, 1)  (3,3,3,1,1)
 28    311    (20,12)   54    (20,19)  (1,1,1,2,1)
 29    350    (19,12)   55    (20,19)  (2,1,1,2,1)
 30    272    (19,12)   54    (20,19)  (3,1,1,2,1)
 31    350    (18,12)   80    (20,19)  (1,2,1,2,1)
 32    350    ( 3, 7)   90    (20,19)  (2,2,1,2,1)
 33    311    (18,12)   83    (20,19)  (3,2,1,2,1)
 34    350    (20,12)  350    (20, 3)  (1,3,1,2,1)
 35    350    (19,12)  350    (19, 3)  (2,3,1,2,1)
 36     77    (20,19)  270    (20,19)  (3,3,1,2,1)
